,pearson.correlation.coefficient.bio_1,pearson.correlation.coefficient.bio_2,pearson.correlation.coefficient.bio_3,pearson.correlation.coefficient.bio_4,pearson.correlation.coefficient.bio_5,pearson.correlation.coefficient.bio_6,pearson.correlation.coefficient.bio_7,pearson.correlation.coefficient.bio_8,pearson.correlation.coefficient.bio_9,pearson.correlation.coefficient.bio_10,pearson.correlation.coefficient.bio_11,pearson.correlation.coefficient.bio_12,pearson.correlation.coefficient.bio_13,pearson.correlation.coefficient.bio_14,pearson.correlation.coefficient.bio_15,pearson.correlation.coefficient.bio_16,pearson.correlation.coefficient.bio_17,pearson.correlation.coefficient.bio_18,pearson.correlation.coefficient.bio_19,mean
bio_1,1.000000002,0.564707832,0.697202013,-0.539153777,0.968410749,0.974950897,-0.369920841,0.938837915,0.895059443,0.977571986,0.980824614,0.533459094,0.536101578,0.30869834,-0.390173354,0.555510657,0.323112545,0.51509668,0.304889772,-2.85887926
bio_2,0.564707832,0.999999982,0.45624832,-0.142089941,0.637821788,0.469301386,0.135831924,0.524583698,0.497579152,0.590435591,0.516621889,0.005522939,0.087940406,-0.111090453,0.062661782,0.088046214,-0.116857088,0.07606484,-0.097282558,9.900020467
bio_3,0.697202013,0.45624832,1.000000004,-0.847907012,0.554873852,0.791365665,-0.722983375,0.513702643,0.777280856,0.564244768,0.79386387,0.644100511,0.642811002,0.34730324,-0.038892046,0.650430506,0.374305901,0.480899539,0.475294567,33.95940051
bio_4,-0.539153777,-0.142089941,-0.847907012,0.999999991,-0.321799387,-0.703985655,0.957303903,-0.290690083,-0.731928586,-0.350567317,-0.691797505,-0.565535821,-0.574732917,-0.284988946,0.02291587,-0.575346517,-0.315806747,-0.364315603,-0.426900625,878.4617007
bio_5,0.968410749,0.637821788,0.554873852,-0.321799387,1.00000002,0.892248838,-0.130573869,0.963085344,0.803961543,0.997076741,0.904434394,0.424025207,0.429909624,0.248615235,-0.407886128,0.450802805,0.255222376,0.452624049,0.212794999,15.10698595
bio_6,0.974950897,0.469301386,0.791365665,-0.703985655,0.892248838,0.99999998,-0.564182547,0.860995726,0.937423621,0.909369667,0.997914941,0.604546662,0.600197145,0.353063359,-0.354946242,0.617566454,0.373291306,0.52962626,0.385450776,-18.61543181
bio_7,-0.369920841,0.135831924,-0.722983375,0.957303903,-0.130573869,-0.564182547,0.999999995,-0.129451193,-0.588219615,-0.173510669,-0.537323168,-0.552049042,-0.531739291,-0.320614253,0.033520972,-0.531673176,-0.352946829,-0.335255978,-0.45722356,33.72241776
bio_8,0.938837915,0.524583698,0.513702643,-0.290690083,0.963085344,0.860995726,-0.129451193,1,0.708685438,0.969997779,0.869506606,0.461175643,0.456261835,0.285844828,-0.468319459,0.47961137,0.294357762,0.528979771,0.216161286,0.333045768
bio_9,0.895059443,0.497579152,0.777280856,-0.731928586,0.803961543,0.937423621,-0.588219615,0.708685438,1,0.814900784,0.93718216,0.512204274,0.516259053,0.276273353,-0.275728741,0.527851099,0.297822911,0.379694919,0.366072965,-4.281720078
bio_10,0.977571986,0.590435591,0.564244768,-0.350567317,0.997076741,0.909369667,-0.173510669,0.969997779,0.814900784,1.000000017,0.91866037,0.452380602,0.452970621,0.272518896,-0.428084292,0.474356644,0.280749052,0.478479674,0.234943105,8.348911319
